rate,width,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
1e-4,wide,wt,7,18.893333,0.708333,280.000000,328.000000,0
1e-4,wide,wt,8,18.863333,0.767667,93.000000,202.000000,0
1e-4,wide,wt,9,19.006000,0.808333,210.000000,428.000000,0
1e-4,wide,wt,10,17.537000,0.645333,336.000000,1123.000000,0
1e-4,wide,wt,11,18.366667,0.627000,450.000000,480.000000,0
1e-4,wide,wt,12,18.990000,0.776000,206.000000,244.000000,0
1e-4,wide,wt,13,18.045000,0.631000,469.000000,430.000000,0
1e-4,wide,wt,14,17.109333,0.429667,968.000000,914.000000,0
1e-4,wide,wt,15,18.542333,0.779333,99.000000,225.000000,0
1e-4,wide,wt,16,19.339333,0.833333,246.000000,303.000000,0
1e-4,wide,wt,17,16.465000,0.425333,799.000000,815.000000,0
1e-4,wide,wt,18,19.074000,0.783667,318.000000,363.000000,0
1e-4,wide,wt,19,17.461000,0.586667,442.000000,483.000000,0
1e-4,wide,wt,20,19.174667,0.843667,176.000000,240.000000,0
1e-4,wide,wt,21,18.026667,0.655667,312.000000,345.000000,0
1e-4,wide,wt,22,18.693333,0.747667,163.000000,216.000000,0
1e-4,wide,wt,23,16.514000,0.514333,419.000000,414.000000,0
1e-4,wide,wt,24,19.661000,0.925667,49.000000,183.000000,0
1e-4,wide,wt,25,18.339667,0.744667,217.000000,219.000000,0
1e-4,wide,wt,26,19.423333,0.891667,166.000000,234.000000,0
1e-4,wide,wt,27,18.121000,0.698667,128.000000,222.000000,0
1e-4,wide,wt,28,19.470333,0.900000,130.000000,225.000000,0
1e-4,wide,wt,29,18.660667,0.762333,281.000000,299.000000,0
1e-4,wide,wt,30,19.253667,0.866667,180.000000,259.000000,0
1e-4,wide,wt,31,18.914667,0.783667,485.000000,573.000000,0
1e-4,wide,wt,32,16.316333,0.512667,562.000000,918.000000,0
1e-4,wide,wt,33,18.017333,0.563000,570.000000,624.000000,0
1e-4,wide,wt,34,17.803333,0.658333,349.000000,541.000000,0
1e-4,wide,wt,35,19.391667,0.890000,142.000000,231.000000,0
1e-4,wide,wt,36,17.829000,0.654667,323.000000,405.000000,0
1e-4,wide,wt,37,18.605333,0.729667,238.000000,280.000000,0
1e-4,wide,wt,38,17.962667,0.705000,159.000000,217.000000,0
1e-4,wide,wt,39,17.345667,0.533000,653.000000,887.000000,0
1e-4,wide,wt,40,15.740667,0.511333,675.000000,840.000000,0
1e-4,wide,wt,41,19.584000,0.909000,80.000000,210.000000,0
