arm,seed,window_end,success
rn_clone_plastic,6,1000,1.20
rn_clone_plastic,6,1250,11.20
rn_clone_plastic,6,1500,15.20
rn_clone_plastic,6,1750,7.60
rn_clone_plastic,6,2000,2.80
rn_clone_plastic,7,250,0.80
rn_clone_plastic,7,500,8.40
rn_clone_plastic,7,750,17.60
rn_clone_plastic,7,1000,24.40
rn_clone_plastic,7,1250,51.60
rn_clone_plastic,7,1500,46.80
rn_clone_plastic,7,1750,23.20
rn_clone_plastic,7,2000,42.40
rn_clone_plastic,7,2250,41.20
rn_clone_plastic,7,2500,46.80
rn_clone_plastic,7,2750,52.40
rn_clone_plastic,7,3000,54.00
rn_clone_plastic,8,250,22.40
rn_clone_plastic,8,500,33.20
rn_clone_plastic,8,750,32.80
rn_clone_plastic,8,1000,22.40
rn_clone_plastic,8,1250,30.00
rn_clone_plastic,8,1500,37.20
rn_clone_plastic,8,1750,22.80
rn_clone_plastic,8,2000,2.40
rn_clone_plastic,8,2250,2.00
rn_clone_plastic,8,2500,1.20
rn_clone_plastic,8,2750,2.00
rn_clone_plastic,8,3000,6.80
wt_fullclone_frozen,1,250,75.20
wt_fullclone_frozen,1,500,73.20
wt_fullclone_frozen,1,750,67.00
wt_fullclone_frozen,2,250,68.40
wt_fullclone_frozen,2,500,60.40
wt_fullclone_frozen,2,750,67.00
wt_fullclone_frozen,3,250,80.00
wt_fullclone_frozen,3,500,73.20
wt_fullclone_frozen,3,750,72.00
wt_fullclone_frozen,4,250,82.80
wt_fullclone_frozen,4,500,76.00
wt_fullclone_frozen,4,750,77.00
wt_fullclone_frozen,5,250,72.40
wt_fullclone_frozen,5,500,73.60
wt_fullclone_frozen,5,750,73.00
wt_fullclone_frozen,6,250,77.60
wt_fullclone_frozen,6,500,82.00
wt_fullclone_frozen,6,750,82.00
wt_fullclone_frozen,7,250,66.00
wt_fullclone_frozen,7,500,72.00
wt_fullclone_frozen,7,750,78.00
wt_fullclone_frozen,8,250,80.80
wt_fullclone_frozen,8,500,79.20
wt_fullclone_frozen,8,750,86.00
rn_fullclone_frozen,1,250,76.80
rn_fullclone_frozen,1,500,82.80
rn_fullclone_frozen,1,750,82.80
rn_fullclone_frozen,1,1000,78.67
rn_fullclone_frozen,2,250,79.20
rn_fullclone_frozen,2,500,82.80
rn_fullclone_frozen,2,750,78.00
rn_fullclone_frozen,3,250,78.80
rn_fullclone_frozen,3,500,74.80
rn_fullclone_frozen,3,750,71.20
rn_fullclone_frozen,3,1000,72.00
rn_fullclone_frozen,4,250,55.20
rn_fullclone_frozen,4,500,56.80
rn_fullclone_frozen,4,750,56.00
rn_fullclone_frozen,4,1000,52.00
rn_fullclone_frozen,5,250,78.40
rn_fullclone_frozen,5,500,82.40
rn_fullclone_frozen,5,750,84.00
rn_fullclone_frozen,6,250,62.80
rn_fullclone_frozen,6,500,64.80
rn_fullclone_frozen,6,750,71.00
rn_fullclone_frozen,7,250,82.40
rn_fullclone_frozen,7,500,81.20
rn_fullclone_frozen,7,750,81.00
rn_fullclone_frozen,8,250,76.40
rn_fullclone_frozen,8,500,73.60
rn_fullclone_frozen,8,750,80.00
