wiring,width,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
wt,wide,68,18.018000,0.749333,3.000000,14.000000,0
wt,wide,69,14.205000,0.478333,169.000000,192.000000,0
wt,wide,70,7.908333,0.260667,307.000000,7.000000,0
wt,wide,71,11.167333,0.411667,58.000000,1.000000,0
wt,wide,72,13.648000,0.498667,192.000000,215.000000,0
wt,wide,73,18.052667,0.742667,40.000000,158.000000,0
wt,wide,74,16.057333,0.648000,29.000000,22.000000,0
wt,wide,75,1.612667,0.000000,3000.000000,1.000000,1
wt,wide,76,12.148667,0.376667,229.000000,1.000000,0
wt,wide,77,3.212333,0.093333,250.000000,1.000000,0
wt,wide,78,10.623000,0.384000,20.000000,4.000000,0
wt,wide,79,19.274000,0.886000,40.000000,88.000000,0
wt,wide,80,14.799667,0.576000,251.000000,372.000000,0
wt,wide,81,2.448000,0.085000,2654.000000,68.000000,0
wt,wide,82,13.739000,0.561667,235.000000,493.000000,0
wt,wide,83,16.752000,0.629000,377.000000,401.000000,0
wt,wide,84,18.343000,0.807667,3.000000,11.000000,0
wt,wide,85,17.888667,0.771000,12.000000,14.000000,0
wt,wide,86,10.873667,0.430333,16.000000,6.000000,0
wt,wide,87,15.181667,0.616667,179.000000,171.000000,0
wt,wide,88,17.177667,0.723667,50.000000,94.000000,0
wt,wide,89,15.870000,0.622667,224.000000,264.000000,0
wt,wide,90,14.931000,0.594000,82.000000,25.000000,0
wt,wide,91,9.008333,0.260333,1325.000000,4.000000,0
wt,wide,92,16.265000,0.647000,36.000000,36.000000,0
wt,wide,93,15.011333,0.647000,99.000000,269.000000,0
wt,wide,94,18.587333,0.819000,38.000000,56.000000,0
wt,wide,95,8.046000,0.171333,28.000000,10.000000,0
wt,wide,96,17.846333,0.762667,73.000000,118.000000,0
rn,wide,1,11.564667,0.471667,113.000000,141.000000,0
rn,wide,2,2.587333,0.031000,5.000000,1.000000,0
rn,wide,3,9.637333,0.340333,225.000000,225.000000,0
rn,wide,4,0.972333,0.007333,5.000000,3000.000000,0
rn,wide,5,12.415333,0.409667,2.000000,1.000000,0
rn,wide,6,6.116667,0.135000,552.000000,13.000000,0
rn,wide,7,12.111333,0.423333,808.000000,788.000000,0
rn,wide,8,12.657333,0.470000,53.000000,1.000000,0
rn,wide,9,14.032000,0.558667,309.000000,344.000000,0
