half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,165,12.000000,-23.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,166,1447.000000,275.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,167,1325.000000,1328.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,168,63.000000,-977.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,169,370.000000,-563.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,170,1586.000000,1677.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,171,1128.000000,1102.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,172,-1359.000000,-1541.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,173,945.000000,-266.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,174,398.000000,-653.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,175,286.000000,645.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,176,136.000000,26.000000
ppo,lsp05,initial_log_std,auc_success,False,161,-0.026000,-0.221000
ppo,lsp05,initial_log_std,auc_success,False,162,0.083667,-0.088667
ppo,lsp05,initial_log_std,auc_success,False,163,0.123667,0.048333
ppo,lsp05,initial_log_std,auc_success,False,164,0.052667,0.081333
ppo,lsp05,initial_log_std,auc_success,False,165,-0.023000,-0.030000
ppo,lsp05,initial_log_std,auc_success,False,166,0.096000,-0.009333
ppo,lsp05,initial_log_std,auc_success,False,167,0.154333,0.130667
ppo,lsp05,initial_log_std,auc_success,False,168,-0.009333,-0.126333
ppo,lsp05,initial_log_std,auc_success,False,169,0.097333,-0.001333
ppo,lsp05,initial_log_std,auc_success,False,170,0.101667,0.130000
ppo,lsp05,initial_log_std,auc_success,False,171,-0.014000,0.019000
ppo,lsp05,initial_log_std,auc_success,False,172,0.071333,0.067333
ppo,lsp05,initial_log_std,auc_success,False,173,0.108000,0.064667
ppo,lsp05,initial_log_std,auc_success,False,174,0.007667,0.000000
ppo,lsp05,initial_log_std,auc_success,False,175,0.115333,0.035333
ppo,lsp05,initial_log_std,auc_success,False,176,0.053667,-0.032333
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,161,59.000000,-1251.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,162,241.000000,-1108.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,163,240.000000,-784.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,164,79.000000,487.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,165,96.000000,61.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,166,283.000000,-889.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,167,226.000000,229.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,168,-111.000000,-1151.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,169,308.000000,-625.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,170,230.000000,321.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,171,103.000000,77.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,172,190.000000,8.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,173,264.000000,-947.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,174,-41.000000,-1092.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,175,169.000000,528.000000
ppo,lsp05,initial_log_std,episodes_to_30pct_success,True,176,115.000000,5.000000
