half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
reading,ls00,initial_log_std,auc_success,True,180,0.004000,0.077333
reading,ls00,initial_log_std,auc_success,True,181,0.162333,0.102333
reading,ls00,initial_log_std,auc_success,True,182,-0.527667,0.027333
reading,ls00,initial_log_std,auc_success,True,183,-0.530667,-0.054667
reading,ls00,initial_log_std,auc_success,True,184,0.089000,-0.124667
reading,ls00,initial_log_std,auc_success,True,185,-0.510000,-0.070333
reading,ls00,initial_log_std,auc_success,True,186,-0.482667,-0.150333
reading,ls00,initial_log_std,auc_success,True,187,-0.039000,0.151667
reading,ls00,initial_log_std,auc_success,True,188,-0.174333,-0.085000
reading,ls00,initial_log_std,auc_success,True,189,-0.027000,-0.076000
reading,ls00,initial_log_std,auc_success,True,190,-0.292000,-0.416333
reading,ls00,initial_log_std,auc_success,True,191,-0.388333,-0.090333
reading,ls00,initial_log_std,auc_success,True,192,-0.126667,-0.037667
reading,ls00,initial_log_std,episodes_to_30pct_success,False,177,-1.000000,123.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,178,-2725.000000,-74.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,179,-2807.000000,-108.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,180,-0.000000,-89.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,181,1423.000000,-283.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,182,-2494.000000,-151.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,183,-629.000000,72.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,184,-83.000000,-15.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,185,-2748.000000,33.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,186,-255.000000,-131.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,187,-529.000000,1364.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,188,-372.000000,323.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,189,69.000000,6.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,190,-406.000000,-1859.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,191,-393.000000,-227.000000
reading,ls00,initial_log_std,episodes_to_30pct_success,False,192,-2237.000000,-1874.000000
reading,r1e4,plasticity_rate,auc_success,True,177,-0.220000,0.116667
reading,r1e4,plasticity_rate,auc_success,True,178,-0.107667,0.205000
reading,r1e4,plasticity_rate,auc_success,True,179,-0.374667,0.247667
reading,r1e4,plasticity_rate,auc_success,True,180,-0.031000,0.042333
reading,r1e4,plasticity_rate,auc_success,True,181,-0.015667,-0.075667
reading,r1e4,plasticity_rate,auc_success,True,182,-0.079000,0.476000
reading,r1e4,plasticity_rate,auc_success,True,183,-0.280000,0.196000
reading,r1e4,plasticity_rate,auc_success,True,184,-0.050667,-0.264333
reading,r1e4,plasticity_rate,auc_success,True,185,-0.218000,0.221667
reading,r1e4,plasticity_rate,auc_success,True,186,-0.368667,-0.036333
reading,r1e4,plasticity_rate,auc_success,True,187,-0.005667,0.185000
reading,r1e4,plasticity_rate,auc_success,True,188,-0.072000,0.017333
reading,r1e4,plasticity_rate,auc_success,True,189,-0.069000,-0.118000
reading,r1e4,plasticity_rate,auc_success,True,190,0.016333,-0.108000
reading,r1e4,plasticity_rate,auc_success,True,191,-0.005667,0.292333
reading,r1e4,plasticity_rate,auc_success,True,192,-0.063000,0.026000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,177,-561.000000,-437.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,178,-81.000000,2570.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,179,-1673.000000,1026.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,180,-0.000000,-89.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,181,-0.000000,-1706.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,182,-0.000000,2343.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,183,-1992.000000,-1291.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,184,-121.000000,-53.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,185,-1302.000000,1479.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,186,-1281.000000,-1157.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,187,-0.000000,1893.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,188,-0.000000,695.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,189,-0.000000,-63.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,190,-0.000000,-1453.000000
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,191,-0.000000,166.000000
