condition,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
baseline_atlas,wt,96,18.561000,0.746333,218.000000,293.000000,0
baseline_atlas,rn,1,19.232333,0.843667,79.000000,178.000000,0
baseline_atlas,rn,2,19.768000,0.953000,62.000000,123.000000,0
baseline_atlas,rn,3,19.549333,0.906333,133.000000,237.000000,0
baseline_atlas,rn,4,19.039333,0.831333,139.000000,220.000000,0
baseline_atlas,rn,5,19.491333,0.920667,76.000000,208.000000,0
baseline_atlas,rn,6,19.189333,0.847667,129.000000,232.000000,0
baseline_atlas,rn,7,19.638333,0.929000,90.000000,203.000000,0
baseline_atlas,rn,8,18.819667,0.792667,278.000000,332.000000,0
baseline_atlas,rn,9,19.199667,0.859667,196.000000,262.000000,0
baseline_atlas,rn,10,18.681000,0.739667,236.000000,387.000000,0
baseline_atlas,rn,11,18.499333,0.661333,321.000000,410.000000,0
baseline_atlas,rn,12,19.595667,0.923667,80.000000,204.000000,0
baseline_atlas,rn,13,16.560333,0.569667,378.000000,501.000000,0
baseline_atlas,rn,14,17.314333,0.681667,75.000000,56.000000,0
baseline_atlas,rn,15,18.044000,0.730000,211.000000,303.000000,0
baseline_atlas,rn,16,19.225667,0.876000,123.000000,224.000000,0
baseline_atlas,rn,17,19.253000,0.868333,102.000000,216.000000,0
baseline_atlas,rn,18,19.507000,0.874333,203.000000,286.000000,0
baseline_atlas,rn,19,17.917333,0.642333,275.000000,443.000000,0
baseline_atlas,rn,20,18.866333,0.813000,189.000000,236.000000,0
baseline_atlas,rn,21,18.676000,0.679667,271.000000,288.000000,0
baseline_atlas,rn,22,18.739000,0.804000,85.000000,206.000000,0
baseline_atlas,rn,23,18.167333,0.721333,392.000000,491.000000,0
baseline_atlas,rn,24,19.379333,0.889667,156.000000,230.000000,0
baseline_atlas,rn,25,19.000333,0.854000,257.000000,340.000000,0
baseline_atlas,rn,26,18.555667,0.782000,60.000000,218.000000,0
baseline_atlas,rn,27,19.361333,0.899667,200.000000,267.000000,0
baseline_atlas,rn,28,18.235000,0.704667,212.000000,238.000000,0
baseline_atlas,rn,29,19.192333,0.812667,221.000000,296.000000,0
baseline_atlas,rn,30,18.070000,0.741000,142.000000,421.000000,0
baseline_atlas,rn,31,18.604000,0.801667,143.000000,265.000000,0
baseline_atlas,rn,32,19.516667,0.883000,172.000000,234.000000,0
baseline_atlas,rn,33,18.108667,0.683667,283.000000,419.000000,0
baseline_atlas,rn,34,17.648667,0.679333,215.000000,323.000000,0
baseline_atlas,rn,35,19.470667,0.885000,123.000000,233.000000,0
baseline_atlas,rn,36,19.085667,0.846000,53.000000,133.000000,0
baseline_atlas,rn,37,18.960000,0.815000,150.000000,235.000000,0
baseline_atlas,rn,38,19.231000,0.857333,146.000000,234.000000,0
baseline_atlas,rn,39,19.391667,0.871333,229.000000,260.000000,0
baseline_atlas,rn,40,18.939333,0.841000,143.000000,253.000000,0
baseline_atlas,rn,41,19.342333,0.865000,213.000000,267.000000,0
baseline_atlas,rn,42,19.373667,0.851333,162.000000,257.000000,0
baseline_atlas,rn,43,19.325000,0.863667,193.000000,233.000000,0
baseline_atlas,rn,44,18.105667,0.680333,265.000000,219.000000,0
baseline_atlas,rn,45,17.843333,0.716333,142.000000,241.000000,0
baseline_atlas,rn,46,17.085000,0.609000,149.000000,102.000000,0
baseline_atlas,rn,47,19.701333,0.938000,66.000000,202.000000,0
baseline_atlas,rn,48,19.291333,0.836667,150.000000,209.000000,0
baseline_atlas,rn,49,18.904000,0.772000,338.000000,407.000000,0
baseline_atlas,rn,50,19.178333,0.785667,257.000000,347.000000,0
baseline_atlas,rn,51,18.641333,0.672333,351.000000,435.000000,0
baseline_atlas,rn,52,18.609667,0.776000,258.000000,355.000000,0
baseline_atlas,rn,53,15.997000,0.498667,471.000000,528.000000,0
baseline_atlas,rn,54,19.580333,0.914000,90.000000,219.000000,0
baseline_atlas,rn,55,19.101667,0.839000,160.000000,219.000000,0
baseline_atlas,rn,56,19.268667,0.849000,96.000000,213.000000,0
baseline_atlas,rn,57,19.398333,0.876000,170.000000,245.000000,0
baseline_atlas,rn,58,19.348000,0.853667,186.000000,259.000000,0
baseline_atlas,rn,59,18.427000,0.762667,218.000000,274.000000,0
baseline_atlas,rn,60,19.363000,0.879333,125.000000,213.000000,0
baseline_atlas,rn,61,19.231667,0.851667,212.000000,249.000000,0
baseline_atlas,rn,62,16.220000,0.546000,45.000000,73.000000,0
baseline_atlas,rn,63,19.625667,0.904000,70.000000,206.000000,0
baseline_atlas,rn,64,18.889000,0.793333,160.000000,238.000000,0
baseline_atlas,rn,65,19.274000,0.861000,88.000000,206.000000,0
baseline_atlas,rn,66,16.766000,0.593667,218.000000,349.000000,0
baseline_atlas,rn,67,18.287333,0.633667,355.000000,357.000000,0
baseline_atlas,rn,68,17.343667,0.655000,95.000000,102.000000,0
baseline_atlas,rn,69,18.415333,0.718000,295.000000,295.000000,0
baseline_atlas,rn,70,18.534333,0.733333,413.000000,447.000000,0
baseline_atlas,rn,71,19.127667,0.854000,130.000000,233.000000,0
baseline_atlas,rn,72,18.515000,0.790333,172.000000,183.000000,0
baseline_atlas,rn,73,18.710667,0.804333,129.000000,154.000000,0
baseline_atlas,rn,74,19.263333,0.832333,103.000000,212.000000,0
baseline_atlas,rn,75,19.016667,0.824000,218.000000,279.000000,0
baseline_atlas,rn,76,19.182667,0.850667,331.000000,412.000000,0
baseline_atlas,rn,77,19.331333,0.863000,140.000000,242.000000,0
baseline_atlas,rn,78,19.672333,0.928667,28.000000,111.000000,0
baseline_atlas,rn,79,19.505000,0.918333,136.000000,220.000000,0
baseline_atlas,rn,80,18.866667,0.822333,279.000000,343.000000,0
baseline_atlas,rn,81,19.154667,0.885667,158.000000,255.000000,0
baseline_atlas,rn,82,18.345000,0.729333,116.000000,206.000000,0
baseline_atlas,rn,83,18.501000,0.755000,246.000000,306.000000,0
baseline_atlas,rn,84,19.286667,0.867000,214.000000,285.000000,0
baseline_atlas,rn,85,19.200333,0.860667,215.000000,299.000000,0
baseline_atlas,rn,86,17.550333,0.730000,215.000000,584.000000,0
baseline_atlas,rn,87,19.223333,0.871000,76.000000,388.000000,0
baseline_atlas,rn,88,18.923333,0.813000,119.000000,167.000000,0
baseline_atlas,rn,89,19.123667,0.835000,149.000000,240.000000,0
baseline_atlas,rn,90,18.763333,0.784667,180.000000,288.000000,0
baseline_atlas,rn,91,18.437667,0.736667,279.000000,313.000000,0
baseline_atlas,rn,92,18.797000,0.652667,273.000000,309.000000,0
baseline_atlas,rn,93,19.215333,0.872000,83.000000,345.000000,0
baseline_atlas,rn,94,19.223333,0.872667,198.000000,267.000000,0
baseline_atlas,rn,95,18.321000,0.726667,235.000000,344.000000,0
baseline_atlas,rn,96,18.625333,0.775667,238.000000,281.000000,0
nogap,wt,1,18.439000,0.751333,103.000000,215.000000,0
nogap,wt,2,18.065667,0.717000,66.000000,208.000000,0
nogap,wt,3,18.487000,0.742667,108.000000,209.000000,0
nogap,wt,4,18.130333,0.742333,116.000000,218.000000,0
nogap,wt,5,18.681000,0.785333,56.000000,100.000000,0
nogap,wt,6,17.808667,0.666000,170.000000,216.000000,0
nogap,wt,7,17.850333,0.720333,136.000000,212.000000,0
