half,seed,random_wt_plateau,random_wt_floor,random_rn_plateau,random_rn_floor,random_gap_auc_success,random_gap_episodes_to_30pct_success,m1_wt_plateau,m1_wt_floor,m1_rn_plateau,m1_rn_floor,m1_gap_auc_success,m1_gap_episodes_to_30pct_success,shuffled_wt_plateau,shuffled_wt_floor,shuffled_rn_plateau,shuffled_rn_floor,shuffled_gap_auc_success,shuffled_gap_episodes_to_30pct_success,measured_interaction_auc_success,measured_interaction_episodes_to_30pct_success,placement_interaction_auc_success,placement_interaction_episodes_to_30pct_success
ppo,246,82.000000,0.000000,76.266667,0.000000,0.064667,1001.000000,73.866667,0.000000,74.666667,0.000000,0.029333,277.000000,75.600000,0.000000,74.000000,0.000000,0.105333,286.000000,-0.035333,-724.000000,-0.076000,-9.000000
ppo,247,78.400000,0.000000,61.466667,0.000000,0.126333,1030.000000,79.466667,0.000000,68.800000,0.000000,0.094000,203.000000,83.866667,0.000000,59.066667,0.000000,0.252667,1199.000000,-0.032333,-827.000000,-0.158667,-996.000000
ppo,248,81.733333,0.000000,73.733333,0.000000,0.084000,1053.000000,81.600000,0.000000,62.800000,0.000000,0.185333,1108.000000,80.133333,0.000000,69.200000,0.000000,0.092333,1039.000000,0.101333,55.000000,0.093000,69.000000
ppo,249,83.333333,0.000000,75.066667,0.000000,0.139000,1182.000000,77.333333,0.000000,69.600000,0.000000,0.138000,1273.000000,74.133333,0.000000,74.933333,0.000000,-0.061333,-284.000000,-0.001000,91.000000,0.199333,1557.000000
ppo,250,61.733333,0.000000,79.600000,0.000000,-0.058667,3.000000,69.066667,0.000000,59.066667,0.000000,0.120000,397.000000,69.066667,0.000000,62.933333,0.000000,0.121333,286.000000,0.178667,394.000000,-0.001333,111.000000
ppo,251,78.400000,0.000000,80.533333,0.000000,0.041333,1171.000000,83.733333,0.000000,80.000000,0.000000,0.077667,-2.000000,78.533333,0.000000,72.266667,0.000000,-0.004333,-849.000000,0.036333,-1173.000000,0.082000,847.000000
ppo,252,69.733333,0.000000,62.266667,0.000000,0.066667,182.000000,77.200000,0.000000,65.200000,0.000000,0.200000,1409.000000,77.200000,0.000000,78.000000,0.000000,0.051000,-224.000000,0.133333,1227.000000,0.149000,1633.000000
ppo,253,76.266667,0.000000,74.000000,0.000000,-0.005000,-972.000000,83.333333,0.000000,77.200000,0.000000,0.050667,46.000000,67.600000,0.000000,80.266667,0.000000,-0.036333,-31.000000,0.055667,1018.000000,0.087000,77.000000
ppo,254,67.333333,0.000000,68.133333,0.000000,-0.006000,-52.000000,85.066667,0.000000,77.333333,0.000000,0.036000,218.000000,78.133333,0.000000,72.666667,0.000000,0.054333,173.000000,0.042000,270.000000,-0.018333,45.000000
ppo,255,79.600000,0.000000,71.333333,0.000000,0.139667,261.000000,83.200000,0.000000,73.466667,0.000000,0.106667,1017.000000,79.866667,0.000000,76.400000,0.000000,0.038667,-91.000000,-0.033000,756.000000,0.068000,1108.000000
ppo,256,79.600000,0.000000,64.800000,0.000000,0.260333,1516.000000,73.733333,0.000000,73.066667,0.000000,0.114333,1305.000000,75.466667,0.000000,76.000000,0.000000,0.145000,1223.000000,-0.146000,-211.000000,-0.030667,82.000000
reading,257,13.600000,0.000000,74.533333,0.000000,-0.594000,-2717.000000,10.400000,0.000000,51.066667,0.000000,-0.360333,-2738.000000,26.933333,0.000000,72.533333,0.000000,-0.454667,-1468.000000,0.233667,-21.000000,0.094333,-1270.000000
reading,258,74.000000,0.000000,43.600000,0.000000,0.265667,244.000000,58.666667,0.000000,50.533333,0.000000,0.073000,107.000000,72.000000,0.000000,72.666667,0.000000,-0.067667,-80.000000,-0.192667,-137.000000,0.140667,187.000000
reading,259,68.400000,0.133333,30.666667,0.000000,0.370667,1092.000000,0.000000,0.000000,27.866667,0.000000,-0.229333,-1921.000000,57.466667,0.000000,51.066667,0.000000,0.125333,234.000000,-0.600000,-3013.000000,-0.354667,-2155.000000
reading,260,77.600000,0.000000,91.466667,0.000000,-0.171000,-111.000000,58.133333,0.000000,70.666667,0.000000,-0.133000,-198.000000,69.733333,0.000000,84.666667,0.000000,-0.241667,-301.000000,0.038000,-87.000000,0.108667,103.000000
reading,261,9.066667,0.000000,40.133333,0.000000,-0.304333,-2568.000000,39.600000,0.000000,21.466667,0.000000,0.073333,60.000000,20.666667,0.000000,28.266667,0.000000,-0.021000,-2067.000000,0.377667,2628.000000,0.094333,2127.000000
reading,262,30.800000,0.000000,68.933333,0.000000,-0.362667,-1141.000000,49.333333,0.000000,85.333333,0.000000,-0.347667,-247.000000,36.666667,0.000000,74.400000,0.000000,-0.409333,-527.000000,0.015000,894.000000,0.061667,280.000000
reading,263,90.800000,0.000000,76.133333,0.000000,0.415000,789.000000,78.266667,0.000000,79.200000,0.000000,-0.027000,117.000000,78.266667,0.000000,67.866667,0.000000,0.205000,293.000000,-0.442000,-672.000000,-0.232000,-176.000000
reading,264,64.666667,0.000000,25.866667,0.000000,0.250667,42.000000,31.600000,0.000000,63.333333,0.000000,-0.359667,-812.000000,87.466667,0.000000,19.066667,0.000000,0.621667,2666.000000,-0.610333,-854.000000,-0.981333,-3478.000000
reading,265,81.733333,0.000000,90.133333,0.000000,-0.180333,-343.000000,61.333333,0.000000,55.733333,0.000000,0.344333,1917.000000,38.933333,0.000000,61.200000,0.000000,-0.259333,-782.000000,0.524667,2260.000000,0.603667,2699.000000
reading,266,86.800000,0.000000,64.266667,0.000000,0.258333,107.000000,33.066667,0.000000,20.000000,0.000000,0.120667,1283.000000,58.000000,0.000000,71.200000,0.000000,-0.080333,-10.000000,-0.137667,1176.000000,0.201000,1293.000000
reading,267,83.066667,0.000000,8.266667,0.000000,0.623667,2602.000000,52.933333,0.000000,31.200000,0.000000,0.208000,1030.000000,2.533333,0.000000,17.733333,0.000000,-0.125667,-0.000000,-0.415667,-1572.000000,0.333667,1030.000000
reading,268,80.933333,0.000000,4.133333,0.000000,0.722333,2838.000000,67.066667,0.000000,1.866667,0.000000,0.538667,2683.000000,78.666667,0.000000,10.000000,0.266667,0.576667,2719.000000,-0.183667,-155.000000,-0.038000,-36.000000
reading,269,29.733333,0.000000,48.000000,0.000000,-0.218333,-1257.000000,83.066667,0.000000,30.933333,0.000000,0.523000,571.000000,8.400000,0.000000,81.466667,0.000000,-0.502667,-2323.000000,0.741333,1828.000000,1.025667,2894.000000
reading,270,56.533333,0.000000,48.133333,0.000000,0.047333,-74.000000,39.600000,0.000000,28.800000,0.000000,0.123000,373.000000,18.266667,0.000000,19.600000,0.000000,-0.061667,-0.000000,0.075667,447.000000,0.184667,373.000000
reading,271,72.400000,0.000000,75.466667,0.000000,0.043333,47.000000,63.200000,0.000000,49.466667,0.000000,0.084667,104.000000,39.066667,0.000000,86.000000,0.000000,-0.488667,-1077.000000,0.041333,57.000000,0.573333,1181.000000
reading,272,50.266667,0.000000,89.600000,0.000000,-0.335000,-164.000000,67.466667,0.133333,46.400000,0.000000,0.216000,227.000000,41.600000,0.000000,47.733333,0.000000,-0.022333,53.000000,0.551000,391.000000,0.238333,174.000000
reading,273,71.733333,0.000000,62.533333,0.000000,0.115333,151.000000,82.133333,0.000000,21.600000,0.000000,0.488000,614.000000,85.600000,0.000000,17.200000,0.000000,0.553333,2725.000000,0.372667,463.000000,-0.065333,-2111.000000
reading,274,19.466667,0.000000,54.266667,0.000000,-0.209333,-904.000000,60.666667,0.000000,5.600000,0.000000,0.473000,2684.000000,30.666667,0.000000,75.600000,0.000000,-0.423667,-1559.000000,0.682333,3588.000000,0.896667,4243.000000
