arm,seed,window_end,success
rn_plastic,5,750,4.80
rn_plastic,5,1000,5.20
rn_plastic,5,1250,4.80
rn_plastic,5,1500,3.20
rn_plastic,5,1750,2.00
rn_plastic,5,2000,2.00
rn_plastic,5,2250,1.20
rn_plastic,5,2500,4.00
rn_plastic,5,2750,0.80
rn_plastic,5,3000,1.20
rn_plastic,6,250,24.00
rn_plastic,6,500,51.20
rn_plastic,6,750,52.40
rn_plastic,6,1000,50.80
rn_plastic,6,1250,51.60
rn_plastic,6,1500,53.60
rn_plastic,6,1750,48.40
rn_plastic,6,2000,54.00
rn_plastic,6,2250,48.00
rn_plastic,6,2500,42.80
rn_plastic,6,2750,50.80
rn_plastic,6,3000,47.20
rn_plastic,7,250,9.20
rn_plastic,7,500,0.00
rn_plastic,7,750,0.40
rn_plastic,7,1000,0.00
rn_plastic,7,1250,0.00
rn_plastic,7,1500,0.00
rn_plastic,7,1750,0.40
rn_plastic,7,2000,0.00
rn_plastic,7,2250,0.00
rn_plastic,7,2500,0.40
rn_plastic,7,2750,0.40
rn_plastic,7,3000,0.00
rn_plastic,8,250,14.40
rn_plastic,8,500,20.80
rn_plastic,8,750,14.80
rn_plastic,8,1000,10.00
rn_plastic,8,1250,10.80
rn_plastic,8,1500,11.60
rn_plastic,8,1750,14.00
rn_plastic,8,2000,12.80
rn_plastic,8,2250,8.80
rn_plastic,8,2500,12.40
rn_plastic,8,2750,10.00
rn_plastic,8,3000,11.60
mlp_plastic,1,250,14.00
mlp_plastic,1,500,2.80
mlp_plastic,1,750,1.20
mlp_plastic,1,1000,0.00
mlp_plastic,1,1250,0.00
mlp_plastic,1,1500,0.00
mlp_plastic,1,1750,0.00
mlp_plastic,1,2000,0.00
mlp_plastic,1,2250,0.00
mlp_plastic,1,2500,5.20
mlp_plastic,1,2750,0.00
mlp_plastic,1,3000,0.40
mlp_plastic,2,250,0.00
mlp_plastic,2,500,0.80
mlp_plastic,2,750,0.40
mlp_plastic,2,1000,0.00
mlp_plastic,2,1250,0.00
mlp_plastic,2,1500,0.00
mlp_plastic,2,1750,1.60
mlp_plastic,2,2000,0.00
mlp_plastic,2,2250,0.00
mlp_plastic,2,2500,0.00
mlp_plastic,2,2750,0.00
mlp_plastic,2,3000,0.00
mlp_plastic,3,250,0.00
mlp_plastic,3,500,0.00
mlp_plastic,3,750,0.00
mlp_plastic,3,1000,0.00
mlp_plastic,3,1250,0.00
mlp_plastic,3,1500,0.00
mlp_plastic,3,1750,0.00
mlp_plastic,3,2000,0.00
mlp_plastic,3,2250,0.80
mlp_plastic,3,2500,1.20
mlp_plastic,3,2750,0.00
mlp_plastic,3,3000,0.00
mlp_plastic,4,250,0.00
mlp_plastic,4,500,0.00
mlp_plastic,4,750,0.00
mlp_plastic,4,1000,0.00
mlp_plastic,4,1250,0.00
mlp_plastic,4,1500,4.00
mlp_plastic,4,1750,0.00
mlp_plastic,4,2000,0.00
mlp_plastic,4,2250,0.80
mlp_plastic,4,2500,0.00
mlp_plastic,4,2750,0.00
mlp_plastic,4,3000,0.00
mlp_plastic,5,250,4.00
mlp_plastic,5,500,0.80
mlp_plastic,5,750,0.00
mlp_plastic,5,1000,0.00
mlp_plastic,5,1250,0.00
mlp_plastic,5,1500,0.00
mlp_plastic,5,1750,6.40
mlp_plastic,5,2000,1.20
mlp_plastic,5,2250,0.80
mlp_plastic,5,2500,0.00
mlp_plastic,5,2750,3.20
mlp_plastic,5,3000,1.20
mlp_plastic,6,250,0.80
mlp_plastic,6,500,6.00
mlp_plastic,6,750,0.40
mlp_plastic,6,1000,5.20
mlp_plastic,6,1250,0.00
mlp_plastic,6,1500,0.00
mlp_plastic,6,1750,0.00
mlp_plastic,6,2000,0.00
mlp_plastic,6,2250,0.40
mlp_plastic,6,2500,0.00
mlp_plastic,6,2750,1.20
mlp_plastic,6,3000,0.00
mlp_plastic,7,250,1.20
mlp_plastic,7,500,0.00
mlp_plastic,7,750,0.00
mlp_plastic,7,1000,0.00
mlp_plastic,7,1250,0.00
mlp_plastic,7,1500,0.00
mlp_plastic,7,1750,0.00
mlp_plastic,7,2000,0.80
mlp_plastic,7,2250,0.00
mlp_plastic,7,2500,4.00
mlp_plastic,7,2750,5.60
mlp_plastic,7,3000,1.20
mlp_plastic,8,250,0.40
mlp_plastic,8,500,0.00
mlp_plastic,8,750,0.00
mlp_plastic,8,1000,2.40
mlp_plastic,8,1250,4.40
mlp_plastic,8,1500,1.60
mlp_plastic,8,1750,0.00
mlp_plastic,8,2000,0.40
mlp_plastic,8,2250,0.00
mlp_plastic,8,2500,0.40
mlp_plastic,8,2750,1.20
mlp_plastic,8,3000,0.40
