half,seed,full_wt_plateau,full_wt_floor,full_rn_plateau,full_rn_floor,full_gap_auc_success,full_gap_episodes_to_30pct_success,chemical_wt_plateau,chemical_wt_floor,chemical_rn_plateau,chemical_rn_floor,chemical_gap_auc_success,chemical_gap_episodes_to_30pct_success,gap_held_wt_plateau,gap_held_wt_floor,gap_held_rn_plateau,gap_held_rn_floor,gap_held_gap_auc_success,gap_held_gap_episodes_to_30pct_success,gap_junctions_auc_success,a6_move_auc_success,remainder_auc_success,gap_junctions_episodes_to_30pct_success,a6_move_episodes_to_30pct_success,remainder_episodes_to_30pct_success
reading,361,32.933333,0.000000,88.266667,0.000000,-0.601000,-1344.000000,32.933333,0.000000,71.466667,0.000000,-0.424000,-1120.000000,32.933333,0.000000,58.000000,0.000000,-0.268000,-1101.000000,0.333000,0.177000,-0.156000,243.000000,224.000000,-19.000000
reading,362,29.866667,0.000000,22.400000,0.000000,0.012333,-190.000000,29.866667,0.000000,63.333333,0.000000,-0.267333,-1322.000000,29.866667,0.000000,55.466667,0.000000,-0.307667,-1535.000000,-0.320000,-0.279667,0.040333,-1345.000000,-1132.000000,213.000000
reading,363,19.733333,0.000000,65.866667,0.000000,-0.477000,-2649.000000,19.733333,0.000000,39.333333,0.000000,-0.152333,-1889.000000,19.733333,0.000000,90.533333,0.000000,-0.684000,-2717.000000,-0.207000,0.324667,0.531667,-68.000000,760.000000,828.000000
reading,364,80.666667,0.000000,68.000000,0.000000,0.017333,-21.000000,80.666667,0.000000,54.666667,0.000000,0.211667,190.000000,80.666667,0.000000,84.133333,0.000000,-0.117667,-74.000000,-0.135000,0.194333,0.329333,-53.000000,211.000000,264.000000
reading,365,18.000000,0.000000,72.266667,2.666667,-0.464333,-1518.000000,18.000000,0.000000,82.000000,2.266667,-0.708000,-1775.000000,18.000000,0.000000,85.466667,0.000000,-0.567333,-1659.000000,-0.103000,-0.243667,-0.140667,-141.000000,-257.000000,-116.000000
reading,366,52.000000,0.000000,50.666667,0.000000,-0.031667,-187.000000,52.000000,0.000000,95.066667,0.000000,-0.427333,-395.000000,52.000000,0.000000,71.866667,0.000000,-0.206000,-306.000000,-0.174333,-0.395667,-0.221333,-119.000000,-208.000000,-89.000000
reading,367,72.000000,0.000000,10.000000,0.000000,0.561667,2635.000000,72.000000,0.000000,17.733333,0.000000,0.470333,2635.000000,72.000000,0.000000,86.800000,0.000000,-0.121000,-48.000000,-0.682667,-0.091333,0.591333,-2683.000000,0.000000,2683.000000
reading,368,75.466667,0.000000,51.733333,0.000000,0.271667,565.000000,75.466667,0.000000,71.600000,0.000000,0.069333,38.000000,75.466667,0.000000,35.200000,0.000000,0.427000,771.000000,0.155333,-0.202333,-0.357667,206.000000,-527.000000,-733.000000
reading,369,94.400000,0.000000,69.333333,0.000000,0.237667,185.000000,94.400000,0.000000,53.466667,0.000000,0.423000,386.000000,94.400000,0.000000,13.333333,0.000000,0.775667,2769.000000,0.538000,0.185333,-0.352667,2584.000000,201.000000,-2383.000000
reading,370,58.800000,0.000000,55.600000,0.000000,0.067667,353.000000,58.800000,0.000000,65.733333,0.000000,-0.089000,-190.000000,58.800000,0.000000,39.866667,0.000000,0.140333,603.000000,0.072667,-0.156667,-0.229333,250.000000,-543.000000,-793.000000
reading,371,37.733333,0.000000,79.600000,3.333333,-0.431333,-700.000000,37.733333,0.000000,87.333333,0.000000,-0.455000,-712.000000,37.733333,0.000000,92.533333,0.000000,-0.570333,-754.000000,-0.139000,-0.023667,0.115333,-54.000000,-12.000000,42.000000
reading,372,91.600000,0.000000,50.800000,0.000000,0.464000,289.000000,91.600000,0.000000,23.466667,0.000000,0.626667,912.000000,91.600000,0.000000,78.400000,0.000000,0.119333,42.000000,-0.344667,0.162667,0.507333,-247.000000,623.000000,870.000000
reading,373,33.600000,0.000000,80.800000,0.000000,-0.368333,-537.000000,33.600000,0.000000,55.200000,0.000000,-0.300333,-556.000000,33.600000,0.000000,80.666667,0.000000,-0.449667,-696.000000,-0.081333,0.068000,0.149333,-159.000000,-19.000000,140.000000
