run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
3326,50,1,723,0,1.0000,0.0000,0,0.7014,0,0,0.0956,0.0000
3327,46,5,969,0,0.8000,0.0696,0,0.8523,0,0,0.0636,0.0000
3328,44,5,1208,0,0.4000,0.0818,0,0.8612,0,0,0.0491,0.0000
3329,45,9,1155,0,0.6000,0.0800,0,0.8596,0,0,0.0651,0.0000
3330,46,6,1143,0,0.6000,0.0609,0,0.8539,0,0,0.1013,0.0000
3331,40,3,1071,0,0.6000,0.1700,0,0.8731,0,0,0.0331,0.0000
3332,48,10,1130,0,0.8000,0.0333,0,0.8543,0,0,0.0766,0.0000
3333,42,4,1030,0,0.6000,0.1429,0,0.8458,0,0,0.0149,0.0000
3334,50,1,1028,0,1.0000,0.0000,0,0.8333,0,0,0.0668,0.0000
3335,50,8,888,0,1.0000,0.0000,0,0.8190,0,0,0.0837,0.0000
3336,45,3,1072,0,0.6000,0.0800,0,0.7891,0,0,0.0430,0.0000
3337,50,8,866,0,1.0000,0.0000,0,0.7650,0,0,0.1153,0.0000
3338,42,7,1247,0,0.6000,0.1238,0,0.8399,0,0,0.1123,0.0000
3339,44,2,1146,0,0.6000,0.0909,0,0.8923,0,0,0.0493,0.0000
3340,47,7,1196,0,0.8000,0.0511,0,0.8790,0,0,0.0554,0.0000
3341,42,9,1218,0,0.6000,0.1333,0,0.8740,0,0,0.0309,0.0000
3342,49,4,1104,0,0.8000,0.0163,0,0.8540,0,0,0.1162,0.0000
3343,48,5,999,0,0.8000,0.0333,0,0.8376,0,0,0.0729,0.0000
3344,44,4,1061,0,0.6000,0.1000,0,0.8429,0,0,0.0617,0.0000
3345,48,6,1206,0,0.6000,0.0250,0,0.8153,0,0,0.0776,0.0000
3346,48,3,1187,0,0.8000,0.0333,0,0.8368,0,0,0.1132,0.0000
3347,44,8,1165,0,0.4000,0.0727,0,0.8285,0,0,0.0445,0.0000
3348,48,6,1072,0,0.6000,0.0250,0,0.7915,0,0,0.0664,0.0000
3349,44,7,1119,0,0.6000,0.0818,0,0.8127,0,0,0.1298,0.0000
3350,46,4,1135,0,0.8000,0.0696,0,0.8377,0,0,0.0518,0.0000
3351,48,2,991,0,0.8000,0.0333,0,0.8528,0,0,0.0895,0.0000
3352,50,2,926,0,1.0000,0.0000,0,0.8198,0,0,0.0871,0.0000
3353,48,6,1093,0,0.8000,0.0333,0,0.8366,0,0,0.0824,0.0000
3354,44,9,1231,0,0.6000,0.0909,0,0.8771,0,0,0.0994,0.0000
3355,47,9,882,0,0.8000,0.0511,0,0.7813,0,0,0.0636,0.0000
3356,50,7,953,0,1.0000,0.0000,0,0.7929,0,0,0.0492,0.0000
3357,50,15,1116,0,1.0000,0.0000,0,0.8368,0,0,0.0978,0.0000
3358,50,8,972,0,1.0000,0.0000,0,0.7823,0,0,0.1219,0.0000
3359,49,12,957,0,0.8000,0.0163,0,0.8291,0,0,0.0357,0.0000
3360,50,3,1114,0,1.0000,0.0000,0,0.8507,0,0,0.0930,0.0000
3361,48,8,1042,0,0.8000,0.0333,0,0.8250,0,0,0.1081,0.0000
3362,44,7,909,0,0.8000,0.1091,0,0.8009,0,0,0.0935,0.0000
